#           var1             var2            omega           -gamma      Re(dBy/dBz)      Im(dBy/dBz)       Re(dn/dBz)       Im(dn/dBz)
  1.00000000e-02   0.00000000e+00   9.94987123e-03   3.91019565e-24  -1.17509895e-21   5.72957795e+05   1.02041264e+00  -1.63306611e-16
  1.00624022e-02   0.00000000e+00   1.00116466e-02   2.59935494e-35   9.90523488e-16   5.72957795e+05   1.02047665e+00  -7.83881530e-17
  1.01251938e-02   0.00000000e+00   1.00738035e-02   8.41470984e-30   2.36719038e-16   5.72957795e+05   1.02054107e+00   1.53924833e-16
  1.01883772e-02   0.00000000e+00   1.01363444e-02  -3.12907510e-24  -2.58142476e-16   5.72957795e+05   1.02060590e+00  -1.45462195e-16
  1.02519549e-02   0.00000000e+00   1.01992715e-02   2.07960364e-23  -9.90714955e-16   5.72957795e+05   1.02067113e+00  -4.23723987e-17
  1.03159293e-02   0.00000000e+00   1.02625872e-02  -3.14956148e-23  -9.90766236e-16   5.72957795e+05   1.02073678e+00   1.25076994e-16
  1.03803030e-02   0.00000000e+00   1.03262939e-02   3.84258475e-23  -1.11268965e-20   5.72957795e+05   1.02080284e+00  -4.82414778e-17
  1.04450783e-02   0.00000000e+00   1.03903939e-02  -4.35240016e-26   9.90903794e-16   5.72957795e+05   1.02086931e+00  -1.23964600e-17
  1.05102579e-02   0.00000000e+00   1.04548897e-02  -3.02615516e-23  -2.68128710e-16   5.72957795e+05   1.02093621e+00   1.22367183e-16
  1.05758442e-02   0.00000000e+00   1.05197838e-02  -6.91923897e-23  -3.81299726e-16   5.72957795e+05   1.02100353e+00  -4.49459163e-17
  1.06418398e-02   0.00000000e+00   1.05850784e-02  -1.68665729e-24   4.76462837e-22   5.72957795e+05   1.02107127e+00   1.24996077e-16
  1.07082472e-02   0.00000000e+00   1.06507761e-02  -2.02632209e-23  -1.50332958e-16   5.72957795e+05   1.02113944e+00   1.41321360e-16
  1.07750690e-02   0.00000000e+00   1.07168793e-02   2.53238071e-23  -7.06573816e-21   5.72957795e+05   1.02120804e+00   3.01986376e-17
  1.08423078e-02   0.00000000e+00   1.07833906e-02  -3.71385911e-23  -5.32731231e-16   5.72957795e+05   1.02127707e+00   3.29461320e-17
